RTL First name	RTL Last name	RTL Full name	Entity ID	Latin full name	Search URL
توفيق	جوهرية	توفيق جوهرية	60747	Tawfiq Juan Jawhariya	https://www.mideastmed.org/search/people?first-name=توفيق&last-name=جوهرية
اميل اسعد	خضر	اميل اسعد خضر	60748	Emil Asʻad Khadr	https://www.mideastmed.org/search/people?first-name=اميل اسعد&last-name=خضر
يعقوب	خوري	يعقوب خوري	60749	Yaʻqub al-Khuri	https://www.mideastmed.org/search/people?first-name=يعقوب&last-name=خوري
بيير ج.	ماركاريان	بيير ج. ماركاريان	60750	Pierre G. Markarian	https://www.mideastmed.org/search/people?first-name=بيير ج.&last-name=ماركاريان
حنا	سعيد	حنا سعيد	60751	Hana Yaʻqub Saʻid	https://www.mideastmed.org/search/people?first-name=حنا&last-name=سعيد
عبد الرحيم	صادق	عبد الرحيم صادق	60752	ʻAbd al-Rahim Sadiq	https://www.mideastmed.org/search/people?first-name=عبد الرحيم&last-name=صادق
سليم	سلامة	سليم سلامة	60753	Salim Sulayman Salama	https://www.mideastmed.org/search/people?first-name=سليم&last-name=سلامة
عطالله	سطفن	عطالله سطفن	60754	ʻAtalla Stephan	https://www.mideastmed.org/search/people?first-name=عطالله&last-name=سطفن
جبرة	عرائش	جبرة عرائش	60755	Jabra ʻAra’ish	https://www.mideastmed.org/search/people?first-name=جبرة&last-name=عرائش
جورج	يريد	جورج يريد	60756	George Yarid	https://www.mideastmed.org/search/people?first-name=جورج&last-name=يريد
فؤاد	ابو غزالة	فؤاد ابو غزالة	60757	Fu’ad Abu Ghazala	https://www.mideastmed.org/search/people?first-name=فؤاد&last-name=ابو غزالة
حافظ	كنعان	حافظ كنعان	60758	Hafiz Kanʻan	https://www.mideastmed.org/search/people?first-name=حافظ&last-name=كنعان
جميل	طقطق	جميل طقطق	60759	Jamil Tuqtuq	https://www.mideastmed.org/search/people?first-name=جميل&last-name=طقطق
ج.	دعدس	ج. دعدس	60760	George Daʻdis	https://www.mideastmed.org/search/people?first-name=ج.&last-name=دعدس
حبيب	سليم	حبيب سليم	60761	Habib Salim	https://www.mideastmed.org/search/people?first-name=حبيب&last-name=سليم
حسن	تحسين	حسن تحسين	60762	Hasan Tahsin	https://www.mideastmed.org/search/people?first-name=حسن&last-name=تحسين
انطوني	شحادة	انطوني شحادة	60763	Anthony ʻAbd al-Ahad Shihada	https://www.mideastmed.org/search/people?first-name=انطوني&last-name=شحادة
جبريل	ابيض	جبريل ابيض	60764	Jibril Abyad	https://www.mideastmed.org/search/people?first-name=جبريل&last-name=ابيض
حبيب موسى	قطان	حبيب موسى قطان	60765	Habib Musa Da’ud Qattan	https://www.mideastmed.org/search/people?first-name=حبيب موسى&last-name=قطان
قيصر	خوري	قيصر خوري	60766	Qaysar Sulayman Khuri	https://www.mideastmed.org/search/people?first-name=قيصر&last-name=خوري
جاد هليل	خوري	جاد هليل خوري	60767	Jad Khalil Khuri	https://www.mideastmed.org/search/people?first-name=جاد هليل&last-name=خوري
توفيق	زعرب	توفيق زعرب	60768	Tawfiq Ibrahim Zuʻrub	https://www.mideastmed.org/search/people?first-name=توفيق&last-name=زعرب
بشارة يوسف	عبود	بشارة يوسف عبود	60769	Bishara Yusuf ʻAbud	https://www.mideastmed.org/search/people?first-name=بشارة يوسف&last-name=عبود
زكي	سليمان	زكي سليمان	60770	Zaki Sulayman	https://www.mideastmed.org/search/people?first-name=زكي&last-name=سليمان
داود سليمان	بولص	داود سليمان بولص	60771	Da’ud Sulayman Bulus	https://www.mideastmed.org/search/people?first-name=داود سليمان&last-name=بولص
خالد	المصطفى	خالد المصطفى	60772	Khalid al-Mustafa	https://www.mideastmed.org/search/people?first-name=خالد&last-name=المصطفى
مصطفى	بشناق	مصطفى بشناق	60773	Mustafa Bushnaq	https://www.mideastmed.org/search/people?first-name=مصطفى&last-name=بشناق
كمال	الحسيني	كمال الحسيني	60774	Kamal A. Bey al-Husayni	https://www.mideastmed.org/search/people?first-name=كمال&last-name=الحسيني
قسطنطين نقولا	حلبي	قسطنطين نقولا حلبي	60775	Constantine Nikula Halabi	https://www.mideastmed.org/search/people?first-name=قسطنطين نقولا&last-name=حلبي
اسكندر	حلبي	اسكندر حلبي	60776	Iskandar Nikula Halabi	https://www.mideastmed.org/search/people?first-name=اسكندر&last-name=حلبي
اسكندر سليمان	عرنكي	اسكندر سليمان عرنكي	60777	Alexandre Sulayman ʻAranki	https://www.mideastmed.org/search/people?first-name=اسكندر سليمان&last-name=عرنكي
ابراهيم توفيق خليل	حمامي	ابراهيم توفيق خليل حمامي	60778	Ibrahim Tawfiq Khalil Hamami	https://www.mideastmed.org/search/people?first-name=ابراهيم توفيق خليل&last-name=حمامي
محمد موسى	تلاوي	محمد موسى تلاوي	60779	Musa Muhammad Ismaʻil Tilawi	https://www.mideastmed.org/search/people?first-name=محمد موسى&last-name=تلاوي
عزيز	مرمورة	عزيز مرمورة	60780	ʻAziz Marmura	https://www.mideastmed.org/search/people?first-name=عزيز&last-name=مرمورة
واصف	عبد الهادي	واصف عبد الهادي	60781	Wasif ʻAbd al-Hadi	https://www.mideastmed.org/search/people?first-name=واصف&last-name=عبد الهادي
اسكندر جوجوغ	مونة	اسكندر جوجوغ مونة	60782	Iskandar Jajugh Musa	https://www.mideastmed.org/search/people?first-name=اسكندر جوجوغ&last-name=مونة
حسن	الخالدي	حسن الخالدي	60783	Hasan Shukri al-Khalidi	https://www.mideastmed.org/search/people?first-name=حسن&last-name=الخالدي
توفيق	كنعان	توفيق كنعان	60784	Tawfiq Kanʻan	https://www.mideastmed.org/search/people?first-name=توفيق&last-name=كنعان
عزت	طنوس	عزت طنوس	60785	ʻIzzat Tanus	https://www.mideastmed.org/search/people?first-name=عزت&last-name=طنوس
محمد	صهدي	محمد صهدي	60786	Muhammad Sahdi	https://www.mideastmed.org/search/people?first-name=محمد&last-name=صهدي
ميحالاكي	شيشمانوغلو	ميحالاكي شيشمانوغلو	60787	Mihalaki Shishmanoglou	https://www.mideastmed.org/search/people?first-name=ميحالاكي&last-name=شيشمانوغلو
الياس	صوابيني	الياس صوابيني	60788	Ilias Sawabini	https://www.mideastmed.org/search/people?first-name=الياس&last-name=صوابيني
محمد امين	جوهري	محمد امين جوهري	60789	Muhammad Amin Jawhari	https://www.mideastmed.org/search/people?first-name=محمد امين&last-name=جوهري
شكري	بتاجي	شكري بتاجي	60790	Shukri Butaji	https://www.mideastmed.org/search/people?first-name=شكري&last-name=بتاجي
جورج	ايوب	جورج ايوب	60791	George ʻId Ayub	https://www.mideastmed.org/search/people?first-name=جورج&last-name=ايوب
اليا موسى	عبدالله	اليا موسى عبدالله	60792	Elia Musa ʻAbdallah	https://www.mideastmed.org/search/people?first-name=اليا موسى&last-name=عبدالله
محمد علي قاسم	شقير	محمد علي قاسم شقير	60793	Muhammad ʻAli Qasim Shukayr	https://www.mideastmed.org/search/people?first-name=محمد علي قاسم&last-name=شقير
داميني	بيرناردين	داميني بيرناردين	60794	Damini Bernardin	https://www.mideastmed.org/search/people?first-name=داميني&last-name=بيرناردين
نجيب ايوب	ابيلا	نجيب ايوب ابيلا	60795	Najib Ayub Abila	https://www.mideastmed.org/search/people?first-name=نجيب ايوب&last-name=ابيلا
محمد توفيق	حتحت	محمد توفيق حتحت	60796	Muhammad Tawfiq Hathat	https://www.mideastmed.org/search/people?first-name=محمد توفيق&last-name=حتحت
ابراهيم	زعرب	ابراهيم زعرب	60797	Ibrahim Zuʿrub	https://www.mideastmed.org/search/people?first-name=ابراهيم&last-name=زعرب
ناصيف ميخائيل	قعوار	ناصيف ميخائيل قعوار	60798	Nasif M. Qaʻwar	https://www.mideastmed.org/search/people?first-name=ناصيف ميخائيل&last-name=قعوار
اميل صالح	فرح	اميل صالح فرح	60799	Emil Salah Farah	https://www.mideastmed.org/search/people?first-name=اميل صالح&last-name=فرح
ميشيل	ابو نادر	ميشيل ابو نادر	60800	Michel Abu Nadir	https://www.mideastmed.org/search/people?first-name=ميشيل&last-name=ابو نادر
هوفانيس ميناس	توريان	هوفانيس ميناس توريان	60801	Hovannes Minas Torian	https://www.mideastmed.org/search/people?first-name=هوفانيس ميناس&last-name=توريان
صموئيل	دونابيديان	صموئيل دونابيديان	60802	Samuel Donabedian	https://www.mideastmed.org/search/people?first-name=صموئيل&last-name=دونابيديان
احمد	عبد العال	احمد عبد العال	60803	Ahmad ʻAbd al-ʻAl	https://www.mideastmed.org/search/people?first-name=احمد&last-name=عبد العال
سامي	حداد	سامي حداد	60804	Sami Ibrahim Haddad	https://www.mideastmed.org/search/people?first-name=سامي&last-name=حداد
توفيق باز	حداد	توفيق باز حداد	60805	Tawfiq Baz Haddad	https://www.mideastmed.org/search/people?first-name=توفيق باز&last-name=حداد
كريكور إبن سليمان	كريكويان	كريكور إبن سليمان كريكويان	60806	Krikor Ibn Sulayman Krikorian	https://www.mideastmed.org/search/people?first-name=كريكور إبن سليمان&last-name=كريكويان
علي شيخ احمد	تفاحة	علي شيخ احمد تفاحة	60807	ʻAli Shaykh Ahmad Tufaha	https://www.mideastmed.org/search/people?first-name=علي شيخ احمد&last-name=تفاحة
يوسف	ابو العراج	يوسف ابو العراج	60808	Yusuf Joannis Abu al-ʻArraj	https://www.mideastmed.org/search/people?first-name=يوسف&last-name=ابو العراج
جميل سليمان	دلالي	جميل سليمان دلالي	60809	Jamil Sulayman Ausi Dalali	https://www.mideastmed.org/search/people?first-name=جميل سليمان&last-name=دلالي
جادالله جودة سليم	لولس	جادالله جودة سليم لولس	60810	Jadallah Jawda Salim Lolas	https://www.mideastmed.org/search/people?first-name=جادالله جودة سليم&last-name=لولس
نجيب رشيد	ابو جودة	نجيب رشيد ابو جودة	60811	Najib Rashid Abu Jawda	https://www.mideastmed.org/search/people?first-name=نجيب رشيد&last-name=ابو جودة
ڤاهان  هوڤانيس	كالبيان	ڤاهان  هوڤانيس كالبيان	60812	Vahan Hovannes Kalbian	https://www.mideastmed.org/search/people?first-name=ڤاهان  هوڤانيس&last-name=كالبيان
